id    la  content
00071  0  요거에요! 톤28 세정젤이네용
00073  0  진정팩인데 수분감 좋아요! 거즈마스크인 것두 좋아요!
00074  0  롬앤 더스티로즈 강추여! 처음엔 붉고 웜하게 올라오는데 갈수록 살짝 안개낀 핑크느낌 들면서 붉은데 너무 웜하지 않은 느낌! 쿨톤인데 완전 잘쓰고 있어요!
00079  0  사실 저 키보드 삼,, 키보드 소리 넘 귀여워 소듕해 다들 내 키보드 소리 들어줘쓰면 조케써,,⭐️
00112  0  문샷틴트핏블러 발림성 완전 버터 같아요! 지속력이 재금 아쉽지만 겉보속촉 💕 넘 부드럽게 발려서 계속 바르고 싶은 고론느낌 👍 #문샷 #틴트핏블러 #틴트추천
00115  0  #클리오#킬커버워터프루프마스카라이거 진짜 찐탱이에요..벌써 다써감.. 올영 세일할 때 1+1으로 꼭 겟하세요!!!!
00119  0  화알못이에요 저
00122  0  요즘 잘 쓰고있는 웜톤한테 진짜 형광등 킨 것 같은에스쁘아 문릿입니다진짜 추천해요
00123  0  #이즈앤트리 #스팟 세이버 쑥 파우더 워시엄청 세정력이 강한 건 아닌데휴대가 찐 간편하고알갱이? 같은 게 있어서 각질제거도 되공징짜 갱춘 ~!
00125  0  민감 + 지성인 노답피부는 닥치고 써야댐집에선 큰사이즈쓰고 헬스장용으로 200 씀사용감에 한번 익숙해지면 빠져나올 수 없다#바이오더마 #이름어려운 #클렌저
00127  0  #이지아#톤업크림 진짜 잘 썼어요 ㅋㅋㅋ진짜 sns 안믿는데 이거 진짜 성공했씀당진짜 기초 크림 바를 때만 너무 유뷴기 많은 것만 안쓰면하나도 안뜨고 진짜 자연스럽게 하얘져서요즘 맨날 써요 자연스럽게 하얘진단 게 별로 안 하얘지는 게 아니라 하얘지는데 자연스럽단 뜻이에옹
00129  0  #노베브#언더아이마스터지속력 진짜 미쳤어용!!!!듀얼이라 간편하고, 솔직히영상보면 알 수 있듯이 색이 엄청 막 예쁜 건 아닌데색 별로 상관없고 자연스러운+ 지속력 좋은 애교살 메이커 찾는다고 하면 무적권 노베브 언더아이마스터 ㄱㄱ
00131  0  #이글립스 #블러파우더틴트 진짜 저 겨울만 되면 각질 장난 아닌데솔직히 이거 제형이 각질 잘 부각되는 제형이긴 해요근데 저는 막상 바르니까 부드럽게 잘 발리긴했고각질 부각은 별루.. 안됐음!!오히려 그래서 그런가 지속력은 그닥..
00138  0  무조건!! 운 나쁘게 대충 해주는 곳에서 받았는데도 도움 많이 되었어여!!갈웜인줄 알고 브라운 따수운 베이지 그렇게 쳐발랐는데,, ^^  여름뮤트 진단받구 섀도 헤어(염색뱌뱌) 옷(노란기 뱌뱌) 하니까 완존 딴 사람되쓰여!!
00141  0  일단 #눈썹정리 부터 해보세요!!눈썹만 정리해도 완전 인상이 달라져요!!저도 눈썹정리 할 줄 몰라서 그냥 눈썹문신하는 곳에서 눈썹 정리해달라구해서눈썹 정리 시작했어요!!
